"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C14orf159","C14orf159",0.246766537529317,9.2705251982538,3.44560472928652,0.000618561096140895,0.0332665141644792,-0.467776882501037
"RCC1","RCC1",-0.241006439077764,9.97462268230256,-3.44376167025425,0.000622691931669547,0.0332665141644792,-0.473564914040137
"C20orf103","C20orf103",0.470266931904743,6.35968771796789,3.4418143406754,0.000627084429219566,0.0332665141644792,-0.47967720641893
"SLC9A3-OT1","SLC9A3-OT1",-0.214820553800463,8.67832731378193,-3.44150163294743,0.000627792477557491,0.0332665141644792,-0.480658429756875
"WDR85","WDR85",-0.181158133680929,8.3852140798497,-3.44137642495299,0.000628076188806473,0.0332665141644792,-0.481051287277738
"NKIRAS2","NKIRAS2",-0.142154258765856,10.0806686505602,-3.44125959756394,0.000628341018173703,0.0332665141644792,-0.481417837239351
"CCPG1","CCPG1",0.196887666589264,11.1745938345282,3.44103618816676,0.000628847742420953,0.0332665141644792,-0.482118759016156
"ZNF831","ZNF831",0.444243356873437,5.27893622428369,3.44089988094146,0.00062915709384658,0.0332665141644792,-0.482546386326904
"KIF22","KIF22",-0.194296074752988,10.0666609147938,-3.44067427705989,0.000629669417503571,0.0332665141644792,-0.483254122562418
"ATXN7L1","ATXN7L1",0.240220270661096,7.12741505603785,3.43985602071294,0.000631530863455496,0.0332665141644792,-0.485820684042455
"YIF1A","YIF1A",-0.187998038328148,10.6008040370977,-3.43884977440336,0.000633827006324853,0.0332665141644792,-0.488976104186456
"ABCA6","ABCA6",0.435800682298621,6.09361497894394,3.43853242843437,0.000634552768948023,0.0332665141644792,-0.489971066194124
"ACSM5","ACSM5",0.464537499399599,3.08847625320809,3.43774087848372,0.000636366405226483,0.0332665141644792,-0.492452400723599
"GNAQ","GNAQ",0.18039098256912,10.5501067201478,3.43721611966634,0.000637571421961069,0.0332665141644792,-0.494097104773827
"MS4A4A","MS4A4A",0.373678003145826,8.37414545306242,3.43687704059621,0.000638351189593406,0.0332665141644792,-0.495159722761583
"PTPRC","PTPRC",0.382238267484303,10.2535226731978,3.43631900809267,0.000639636413786629,0.0332665141644792,-0.496908287973681
"SLC5A9","SLC5A9",0.541016044797687,3.88781258603582,3.43402859800568,0.000644936869112462,0.0333672403196512,-0.504082340935294
"LYZ","LYZ",0.504726674934936,13.0668124394151,3.43391627970078,0.000645197846602347,0.0333672403196512,-0.504434028946742
"PLK4","PLK4",-0.332036623185233,7.10763560657998,-3.43160358072876,0.000650593472747111,0.0334610899894228,-0.511673059776335
"TIMM17B","TIMM17B",-0.216858540173071,9.77848102168841,-3.43057657153135,0.00065300300013618,0.0334610899894228,-0.514886238617301
"FAM71D","FAM71D",-0.233703373865008,4.776283701195,-3.43010381483577,0.000654114958318456,0.0334610899894228,-0.516365033932534
"FANCA","FANCA",-0.285880105242074,8.39828316728965,-3.43003271087369,0.000654282352734354,0.0334610899894228,-0.516587432235385
"FBXW11","FBXW11",0.161608822795929,10.1361830830916,3.42517671506582,0.000665809452261913,0.0339562820653576,-0.531765605164481
"MARCH1","MARCH1",0.327455699806983,6.49990381201794,3.42288629382808,0.000671311908565491,0.0340124340526547,-0.538917582578429
"WBSCR16","WBSCR16",-0.138732719442478,10.0357730220482,-3.42241472826428,0.000672450038528479,0.0340124340526547,-0.54038950991379
"ZNF513","ZNF513",-0.199608771019545,8.71855550643199,-3.42240576345437,0.000672471692638851,0.0340124340526547,-0.540417490473678
"HTR4","HTR4",0.359636806471914,0.942408364514055,3.42164978737364,0.000674300061333928,0.0340124340526547,-0.542776758292703
"MRC1","MRC1",0.509609225883473,9.87737728077899,3.41891052304696,0.000680964020818181,0.0342547229160752,-0.551321369304588
"CNR1","CNR1",0.563969410746134,5.97926902822241,3.4171640267602,0.000685244821772074,0.0343761373668819,-0.556765835017458
"CHGB","CHGB",-1.01522126434936,4.53349161035199,-3.4158057945755,0.000688591285833189,0.0344501471833556,-0.560998112225691
"TMEM52","TMEM52",-0.415127485951776,5.19228007057012,-3.41403503348859,0.000692977037084463,0.0344686425505154,-0.566513435646385
"C7orf11","C7orf11",-0.173587316035303,8.85670177216761,-3.41392335702433,0.000693254504039975,0.0344686425505154,-0.566861179031011
"MMP7","MMP7",0.710588450171022,9.61444869046533,3.41339144175643,0.000694577501832667,0.0344686425505154,-0.568517333207841
"NEFM","NEFM",-0.590475214711322,1.68313142950847,-3.41172293771862,0.000698742748522806,0.0345102856931019,-0.573710741835602
"C14orf39","C14orf39",-0.44800645289019,1.40381439278077,-3.41146550715945,0.000699387466632957,0.0345102856931019,-0.574511808797499
"C17orf70","C17orf70",-0.180111356135961,9.87119476429356,-3.41080668594361,0.00070103996791158,0.0345102856931019,-0.576561652998443
"GPR34","GPR34",0.386809470294085,6.92928777613634,3.40930604921803,0.000704817565209292,0.0345714224855916,-0.581229301510765
"GNG2","GNG2",0.262644695672383,8.31515627828812,3.40882306921846,0.000706037415381155,0.0345714224855916,-0.58273116901675
"ATAD3B","ATAD3B",-0.303133532213336,8.82609223187016,-3.40763964092921,0.000709034692725433,0.0346260947686152,-0.586410285147611
"GFRA2","GFRA2",0.40687160828816,4.04021006312821,3.40591215545102,0.00071343120365568,0.0346986049119116,-0.591778619948502
"CCDC85A","CCDC85A",0.424943299386843,5.70769635587883,3.40503116515714,0.000715683124641526,0.0346986049119116,-0.594515389337754
"TAF4","TAF4",-0.168714327734976,9.00949355842956,-3.40387975516187,0.000718636259037801,0.0346986049119116,-0.598091194427212
"CTDSPL","CTDSPL",0.216343274773934,9.99083622589767,3.4035031287196,0.000719604691979224,0.0346986049119116,-0.599260591413261
"TSPYL1","TSPYL1",0.162721774557545,10.5307897165225,3.40337174482486,0.000719942810078226,0.0346986049119116,-0.599668499651589
"RTCD1","RTCD1",-0.144512283924241,9.32333131045844,-3.40119560753662,0.000725564704558218,0.0348333463287919,-0.606422586177037
"IL7","IL7",0.362566905786017,5.8759291486595,3.40082644473277,0.000726522458870029,0.0348333463287919,-0.607567950796246
"WDR34","WDR34",-0.21091829099254,10.5943135858486,-3.3984843216871,0.00073262635036988,0.0350347629523632,-0.614831868002333
"CD84","CD84",0.426351866144754,7.08329340188644,3.39651277328805,0.000737801476976437,0.0351908367684279,-0.620942786842584
